street_number,actual_street_name,Suburb,country,Borough,County,london_region,region,Date,day,month,year,quarter,value,tenure_type,tenancy_type,leasehold_unexpired_term,ground_rent_dummy,ground_rent_inpounds,rent_yearly_inpounds,years_purchase
2,CASTLENAU TERRACE,BARNES,UNITED KINGDOM,Richmon,Greater London,OUTER,Greater London,21-01-1895,21,1,1895,1,395,LEASEHOLD,YEARLY,44,1,,,
13,HIGH STREET,BARNES,UNITED KINGDOM,Richmon,Greater London,OUTER,Greater London,30-09-1895,30,9,1895,3,400,COPYHOLD,YEARLY,,0,,25,16
57,ALBION GROVE,BARNSBURY,UNITED KINGDOM,Hackney,Greater London,INNER,Greater London,06-06-1895,6,6,1895,2,425,LEASEHOLD,YEARLY,55,1,6,38,11.18421053
24,ARUNDEL SQUARE,BARNSBURY,UNITED KINGDOM,Hackney,Greater London,INNER,Greater London,27-06-1895,27,6,1895,2,760,FREEHOLD,YEARLY,999,0,,80,9.5
40,ARUNDEL SQUARE,BARNSBURY,UNITED KINGDOM,Hackney,Greater London,INNER,Greater London,25-04-1895,25,4,1895,2,400,LEASEHOLD,YEARLY,62,1,8,50,8
3,BRUNSWICK STREET,BARNSBURY,UNITED KINGDOM,Hackney,Greater London,INNER,Greater London,28-02-1895,28,2,1895,1,215,LEASEHOLD,YEARLY,25,1,4,32,6.71875
18,DORINDA STREET,BARNSBURY,UNITED KINGDOM,Hackney,Greater London,INNER,Greater London,08-11-1895,8,11,1895,4,245,FREEHOLD,YEARLY,999,0,,24.7,9.91902834
28,GIBSON SQUARE,BARNSBURY,UNITED KINGDOM,Hackney,Greater London,INNER,Greater London,04-07-1895,4,7,1895,3,275,LEASEHOLD,YEARLY,32,1,9,48,5.729166667
45,HEMINGFORD ROAD,BARNSBURY,UNITED KINGDOM,Hackney,Greater London,INNER,Greater London,17-01-1895,17,1,1895,1,360,LEASEHOLD,YEARLY,48,1,6,,
22,MATILDA STREET,BARNSBURY,UNITED KINGDOM,Hackney,Greater London,INNER,Greater London,24-05-1895,24,5,1895,2,320,LEASEHOLD,YEARLY,46,1,2,32,10
102,OFFORD ROAD,BARNSBURY,UNITED KINGDOM,Hackney,Greater London,INNER,Greater London,02-05-1895,2,5,1895,2,200,LEASEHOLD,QUARTERLY,20,1,8,40,5
21,RHODES STREET,BARNSBURY,UNITED KINGDOM,Hackney,Greater London,INNER,Greater London,11-07-1895,11,7,1895,3,190,LEASEHOLD,MONTHLY,94,1,4.2,20,9.5
56,RICHMOND ROAD,BARNSBURY,UNITED KINGDOM,Hackney,Greater London,INNER,Greater London,04-07-1895,4,7,1895,3,425,LEASEHOLD,YEARLY,41,1,7,50,8.5
26,THORNHILL CRESCENT,BARNSBURY,UNITED KINGDOM,Hackney,Greater London,INNER,Greater London,28-02-1895,28,2,1895,1,435,LEASEHOLD,YEARLY,55,1,8,48,9.0625
35,UPPER PARK STREET,BARNSBURY,UNITED KINGDOM,Hackney,Greater London,INNER,Greater London,30-05-1895,30,5,1895,2,140,LEASEHOLD,MONTHLY,13,1,,36,3.888888889
26,ALMERIC ROAD,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,05-12-1895,5,12,1895,4,285,LEASEHOLD,YEARLY,23,1,6,34,8.382352941
33,ALMERIC ROAD,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,14-02-1895,14,2,1895,1,285,LEASEHOLD,YEARLY,23,1,6.3,35,8.142857143
16,ARLISS ROAD,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,09-05-1895,9,5,1895,2,250,LEASEHOLD,YEARLY,74,1,6,30,8.333333333
5,AUCKLAND ROAD,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,01-02-1895,1,2,1895,1,185,LEASEHOLD,YEARLY,50,1,5,,
67,BATTERSEA PARK ROAD,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,16-05-1895,16,5,1895,2,545,FREEHOLD,YEARLY,999,0,,34,16.02941177
69,BATTERSEA PARK ROAD,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,16-05-1895,16,5,1895,2,465,FREEHOLD,YEARLY,999,0,,34,13.67647059
71,BATTERSEA PARK ROAD,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,16-05-1895,16,5,1895,2,555,FREEHOLD,YEARLY,999,0,,34,16.32352941
145,BATTERSEA RISE,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,29-11-1895,29,11,1895,4,850,FREEHOLD,YEARLY,999,0,,64,13.28125
94,BENNERLEY ROAD,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,14-02-1895,14,2,1895,1,285,LEASEHOLD,YEARLY,81,1,6,30,9.5
214,BRIDGE ROAD,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,04-04-1895,4,4,1895,2,300,LEASEHOLD,YEARLY,63,1,5.5,,
13,COLESTOWN STREET,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,09-05-1895,9,5,1895,2,230,LEASEHOLD,YEARLY,82,1,5.25,33.8,6.804733728
17,COLESTOWN STREET,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,09-05-1895,9,5,1895,2,200,LEASEHOLD,YEARLY,82,1,5.25,33.8,5.917159763
59,CHURCH ROAD,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,29-05-1895,29,5,1895,2,340,FREEHOLD,YEARLY,999,0,,33.8,10.0591716
2,GRANT ROAD,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,24-04-1895,24,4,1895,2,190,LEASEHOLD,YEARLY,43,1,,31.2,6.08974359
4,GRANT ROAD,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,24-04-1895,24,4,1895,2,410,FREEHOLD,YEARLY,999,0,,39,10.51282051
10,HAUBERK ROAD,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,05-12-1895,5,12,1895,4,365,LEASEHOLD,YEARLY,84,1,7,42,8.690476191
62,HENLEY STREET,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,16-09-1895,16,9,1895,3,350,LEASEHOLD,YEARLY,70,1,7.5,75,4.666666667
11,KNOX ROAD,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,09-10-1895,9,10,1895,4,205,FREEHOLD,YEARLY,999,0,,20.8,9.855769231
146,MEYRICK ROAD,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,22-04-1895,22,4,1895,2,110,LEASEHOLD,YEARLY,55,1,4.725,31.2,3.525641026
22,MIDDLETON ROAD,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,14-06-1895,14,6,1895,2,230,LEASEHOLD,YEARLY,48,1,5.5,39,5.897435897
188,NEW ROAD,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,16-05-1895,16,5,1895,2,255,FREEHOLD,YEARLY,999,0,,20,12.75
72,PLOUGH ROAD,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,18-07-1895,18,7,1895,3,265,LEASEHOLD,YEARLY,70,1,13,42,6.30952381
125,PLOUGH ROAD,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,05-12-1895,5,12,1895,4,305,LEASEHOLD,YEARLY,84,1,7,35,8.714285714
12,SALCOTT ROAD,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,20-05-1895,20,5,1895,2,220,LEASEHOLD,YEARLY,73,1,6,26,8.461538462
90,WADHURST ROAD,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,24-06-1895,24,6,1895,2,130,LEASEHOLD,YEARLY,33,1,2.5,,
90,WADHURST ROAD,BATTERSEA,UNITED KINGDOM,Wandswo,Greater London,INNER,Greater London,05-12-1895,5,12,1895,4,140,LEASEHOLD,YEARLY,33,1,2.5,15.5,9.032258065
68,KENSINGTON PARK ROAD,BAYSWATER,UNITED KINGDOM,Kensing,Greater London,INNER,Greater London,05-12-1895,5,12,1895,4,1000,FREEHOLD,YEARLY,999,0,,80,12.5
14,KILDARE GARDENS,BAYSWATER,UNITED KINGDOM,Kensing,Greater London,INNER,Greater London,08-05-1895,8,5,1895,2,570,LEASEHOLD,YEARLY,56,1,8,,
48,QUEEN'S ROAD,BAYSWATER,UNITED KINGDOM,Kensing,Greater London,INNER,Greater London,04-04-1895,4,4,1895,2,700,LEASEHOLD,YEARLY,31,1,6.3,100,7
52,QUEEN'S ROAD,BAYSWATER,UNITED KINGDOM,Kensing,Greater London,INNER,Greater London,04-04-1895,4,4,1895,2,700,LEASEHOLD,YEARLY,52,1,8,80,8.75
54,QUEEN'S ROAD,BAYSWATER,UNITED KINGDOM,Kensing,Greater London,INNER,Greater London,04-04-1895,4,4,1895,2,545,LEASEHOLD,YEARLY,52,1,8,80,6.8125
61,QUEEN'S ROAD,BAYSWATER,UNITED KINGDOM,Kensing,Greater London,INNER,Greater London,10-06-1895,10,6,1895,2,100,LEASEHOLD,YEARLY,16,1,,85,1.176470588
15,ST. LUKE'S ROAD,BAYSWATER,UNITED KINGDOM,Kensing,Greater London,INNER,Greater London,24-07-1895,24,7,1895,3,520,LEASEHOLD,YEARLY,61,1,10,70,7.428571429
1,ST. STEPHEN'S ROAD,BAYSWATER,UNITED KINGDOM,Kensing,Greater London,INNER,Greater London,04-03-1895,4,3,1895,1,855,LEASEHOLD,YEARLY,61,1,10,80,10.6875
10,SUTHERLAND PLACE,BAYSWATER,UNITED KINGDOM,Kensing,Greater London,INNER,Greater London,01-03-1895,1,3,1895,1,325,LEASEHOLD,YEARLY,51,1,11,53,6.132075472
74,TALBOT ROAD,BAYSWATER,UNITED KINGDOM,Kensing,Greater London,INNER,Greater London,15-11-1895,15,11,1895,4,490,LEASEHOLD,YEARLY,64,1,11.55,75,6.533333333
22,TAVISTOCK ROAD,BAYSWATER,UNITED KINGDOM,Kensing,Greater London,INNER,Greater London,24-05-1895,24,5,1895,2,365,LEASEHOLD,YEARLY,61,1,7.5,,
205,WESTBOURNE GROVE,BAYSWATER,UNITED KINGDOM,Kensing,Greater London,INNER,Greater London,12-11-1895,12,11,1895,4,800,LEASEHOLD,YEARLY,54,1,6.5,80,10
39,WESTBOURNE TERRACE,BAYSWATER,UNITED KINGDOM,Kensing,Greater London,INNER,Greater London,25-10-1895,25,10,1895,4,530,LEASEHOLD,YEARLY,,1,48,100,5.3
5,WILTON CRESCENT,BELGRAVIA,UNITED KINGDOM,Westmin,Greater London,INNER,Greater London,24-06-1895,24,6,1895,2,4000,LEASEHOLD,YEARLY,29,1,0.75,300,13.33333333
55,ABBEY STREET,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,09-08-1895,9,8,1895,3,495,FREEHOLD,YEARLY,999,0,,52,9.519230769
66,ABBEY STREET,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,09-08-1895,9,8,1895,3,600,FREEHOLD,YEARLY,999,0,,40,15
68,ABBEY STREET,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,09-08-1895,9,8,1895,3,740,FREEHOLD,YEARLY,999,0,,40,18.5
70,ABBEY STREET,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,09-08-1895,9,8,1895,3,670,FREEHOLD,YEARLY,999,0,,40,16.75
87,ABBEY STREET,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,29-03-1895,29,3,1895,1,340,FREEHOLD,YEARLY,999,0,,36.4,9.340659341
29,AMBROSE STREET,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,28-02-1895,28,2,1895,1,200,LEASEHOLD,YEARLY,42,1,3,,
14,CAMILLA ROAD,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,29-08-1895,29,8,1895,3,165,LEASEHOLD,YEARLY,41,1,6,39,4.230769231
3,CATLIN STREET,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,18-07-1895,18,7,1895,3,210,LEASEHOLD,YEARLY,51,1,5,33.8,6.213017752
79,DELAFORD ROAD,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,11-07-1895,11,7,1895,3,205,LEASEHOLD,YEARLY,81,1,5,28.6,7.167832168
46,DRUMMOND ROAD,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,19-03-1895,19,3,1895,1,365,LEASEHOLD,YEARLY,,1,11,10,36.5
1a,FENNER ROAD,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,13-11-1895,13,11,1895,4,200,FREEHOLD,QUARTERLY,999,0,,20,10
151,GRANGE ROAD,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,27-06-1895,27,6,1895,2,150,LEASEHOLD,YEARLY,22,1,5,32,4.6875
76,JAMACIA ROAD,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,22-04-1895,22,4,1895,2,20,LEASEHOLD,YEARLY,,1,,40,0.5
78,JAMACIA ROAD,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,22-04-1895,22,4,1895,2,35,LEASEHOLD,YEARLY,,1,,40,0.875
80,JAMACIA ROAD,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,22-04-1895,22,4,1895,2,25,LEASEHOLD,YEARLY,,1,,40,0.625
82,JAMACIA ROAD,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,22-04-1895,22,4,1895,2,65,LEASEHOLD,YEARLY,,1,,45,1.444444444
1,LAYARD ROAD,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,01-05-1895,1,5,1895,2,270,LEASEHOLD,YEARLY,63,1,3.5,31.2,8.653846154
218,LONG LANE,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,18-06-1895,18,6,1895,2,500,FREEHOLD,YEARLY,999,0,,38,13.15789474
144,LYNTON ROAD,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,12-11-1895,12,11,1895,4,395,LEASEHOLD,YEARLY,46,1,6.5,42,9.404761905
44,MARINE STREET,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,20-11-1895,20,11,1895,4,130,LEASEHOLD,YEARLY,32,1,2.5,23.4,5.555555556
78,PAGE'S WALK,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,24-01-1895,24,1,1895,1,105,LEASEHOLD,YEARLY,17,1,3.75,,
14a,PRINCE STREET,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,30-05-1895,30,5,1895,2,170,LEASEHOLD,YEARLY,51,1,5,31.2,5.448717949
65,ROLL'S ROAD,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,23-10-1895,23,10,1895,4,235,LEASEHOLD,YEARLY,51,1,5,38,6.184210526
47,ST JAMES'S ROAD,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,22-04-1895,22,4,1895,2,335,FREEHOLD,YEARLY,999,0,,33.8,9.911242604
54,SALISBURY STREET,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,16-05-1895,16,5,1895,2,50,LEASEHOLD,YEARLY,37,1,3,18.2,2.747252747
38,SOUTHWARK PARK ROAD,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,29-08-1895,29,8,1895,3,205,LEASEHOLD,YEARLY,27,1,4.4,41.6,4.927884615
171,SOUTHWARK PARK ROAD,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,22-04-1895,22,4,1895,2,250,LEASEHOLD,YEARLY,29,1,4,39,6.41025641
423,SOUTHWARK PARK ROAD,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,12-11-1895,12,11,1895,4,300,LEASEHOLD,YEARLY,57,1,5,39,7.692307692
44,SPA ROAD,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,22-04-1895,22,4,1895,2,80,LEASEHOLD,YEARLY,21,1,3,26,3.076923077
12,TROTHY ROAD,BERMONDSEY,UNITED KINGDOM,Southwa,Greater London,INNER,Greater London,22-04-1895,22,4,1895,2,250,LEASEHOLD,YEARLY,45,1,5,33.8,7.396449704
43,ABBEY STREET,BETHNAL GREEN,UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,12-12-1895,12,12,1895,4,185,LEASEHOLD,YEARLY,,1,,150,1.233333333
203,BETHNAL GREEN ROAD,BETHNAL GREEN,UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,29-07-1895,29,7,1895,3,500,LEASEHOLD,YEARLY,76,1,,,
455,BETHNAL GREEN ROAD,BETHNAL GREEN,UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,18-01-1895,18,1,1895,1,1350,FREEHOLD,YEARLY,999,0,,,
153,CAMBRIDGE ROAD,BETHNAL GREEN,UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,23-10-1895,23,10,1895,4,450,FREEHOLD,YEARLY,999,0,,30,15
157,CAMBRIDGE ROAD,BETHNAL GREEN,UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,23-10-1895,23,10,1895,4,510,FREEHOLD,YEARLY,999,0,,26,19.61538462
165,CAMBRIDGE ROAD,BETHNAL GREEN,UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,23-10-1895,23,10,1895,4,470,FREEHOLD,YEARLY,999,0,,40,11.75
171,CAMBRIDGE ROAD,BETHNAL GREEN,UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,23-10-1895,23,10,1895,4,600,FREEHOLD,YEARLY,999,0,,30,20
175,CAMBRIDGE ROAD,BETHNAL GREEN,UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,23-10-1895,23,10,1895,4,400,FREEHOLD,YEARLY,999,0,,18,22.22222222
177,CAMBRIDGE ROAD,BETHNAL GREEN,UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,23-10-1895,23,10,1895,4,400,FREEHOLD,YEARLY,999,0,,30,13.33333333
55,GRANBY STREET,BETHNAL GREEN,UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,13-12-1895,13,12,1895,4,300,LEASEHOLD,YEARLY,46,1,,60,5
90,SCLATER STREET,BETHNAL GREEN,UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,15-11-1895,15,11,1895,4,600,FREEHOLD,YEARLY,999,0,,52,11.53846154
91,SCLATER STREET,BETHNAL GREEN,UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,15-11-1895,15,11,1895,4,705,FREEHOLD,YEARLY,999,0,,58,12.15517241
29,WINCHESTER STREET,BETHNAL GREEN,UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,22-11-1895,22,11,1895,4,125,LEASEHOLD,YEARLY,84,1,2,26,4.807692308
33,WINCHESTER STREET,BETHNAL GREEN,UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,22-11-1895,22,11,1895,4,150,LEASEHOLD,YEARLY,84,0,,27.3,5.494505495
151,CAMBRIDGE ROAD,BETHNAL GREEN (CARPENTERS ARMS BEER HOUSE),UNITED KINGDOM,Tower H,Greater London,INNER,Greater London,23-10-1895,23,10,1895,4,1250,FREEHOLD,YEARLY,999,0,,56,22.32142857
29,BENNETT STREET,BLACKFRIARS,UNITED KINGDOM,City of,Greater London,INNER,Greater London,28-06-1895,28,6,1895,2,750,FREEHOLD,YEARLY,999,0,,50,15
37,BLACKFRIARS ROAD,BLACKFRIARS,UNITED KINGDOM,City of,Greater London,INNER,Greater London,21-02-1895,21,2,1895,1,1000,FREEHOLD,YEARLY,999,0,,,
10,GREAT CHARLOTTE STREET,BLACKFRIARS,UNITED KINGDOM,City of,Greater London,INNER,Greater London,11-07-1895,11,7,1895,3,150,LEASEHOLD,YEARLY,16,1,5.4,83.2,1.802884615
4,SURREY ROW,BLACKFRIARS,UNITED KINGDOM,City of,Greater London,INNER,Greater London,21-05-1895,21,5,1895,2,170,COPYHOLD,YEARLY,,0,,28.6,5.944055944
35,WEBBER STREET,BLACKFRIARS,UNITED KINGDOM,City of,Greater London,INNER,Greater London,10-12-1895,10,12,1895,4,350,FREEHOLD,YEARLY,999,0,,26,13.46153846
41,WEBBER STREET,BLACKFRIARS,UNITED KINGDOM,City of,Greater London,INNER,Greater London,10-12-1895,10,12,1895,4,300,FREEHOLD,YEARLY,999,0,,33.8,8.875739645
25,BELMONT PARK,BLACKHEATH,UNITED KINGDOM,Lewisha,Greater London,INNER,Greater London,14-06-1895,14,6,1895,2,550,LEASEHOLD,YEARLY,57,1,3,,
8,CRAIGERNE ROAD,BLACKHEATH,UNITED KINGDOM,Lewisha,Greater London,INNER,Greater London,29-11-1895,29,11,1895,4,700,FREEHOLD,YEARLY,999,0,,50,14
3,ELIOT COTTAGES,BLACKHEATH,UNITED KINGDOM,Lewisha,Greater London,INNER,Greater London,17-07-1895,17,7,1895,3,310,LEASEHOLD,YEARLY,58,1,6,35,8.857142857
5,ELIOT PARK,BLACKHEATH,UNITED KINGDOM,Lewisha,Greater London,INNER,Greater London,30-04-1895,30,4,1895,2,350,LEASEHOLD,YEARLY,60,1,10.5,50,7
13,ELIOT PARK,BLACKHEATH,UNITED KINGDOM,Lewisha,Greater London,INNER,Greater London,30-04-1895,30,4,1895,2,350,LEASEHOLD,YEARLY,59,1,15,63,5.555555556
16,ELIOT PARK,BLACKHEATH,UNITED KINGDOM,Lewisha,Greater London,INNER,Greater London,30-04-1895,30,4,1895,2,650,LEASEHOLD,YEARLY,59,1,2,90,7.222222222
65,KIDBROOKE PARK ROAD,BLACKHEATH,UNITED KINGDOM,Lewisha,Greater London,INNER,Greater London,13-06-1895,13,6,1895,2,600,LEASEHOLD,YEARLY,70,1,1,90,6.666666667
18,THE VALE,BLACKHEATH,UNITED KINGDOM,Lewisha,Greater London,INNER,Greater London,12-06-1895,12,6,1895,2,560,LEASEHOLD,YEARLY,76,1,12.5,,
12,WALERAND ROAD,BLACKHEATH,UNITED KINGDOM,Lewisha,Greater London,INNER,Greater London,30-04-1895,30,4,1895,2,250,LEASEHOLD,YEARLY,59,1,10.5,,
4,WOODLANDS ROAD,BLACKHEATH,UNITED KINGDOM,Lewisha,Greater London,INNER,Greater London,12-06-1895,12,6,1895,2,205,LEASEHOLD,YEARLY,30,1,,65,3.153846154
